City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Gulzarpet, Anantapur, India",88,88,71,26.3,4.6,2.4,6.5,14.675886,77.593027,2024-05-04 18:00:00
"Anand Kala Kshetram, Rajamahendravaram, India",58,58,45,14.6,12,6.9,6.7,16.9872867,81.7363176,2024-05-04 18:00:00
"Tirumala-APPCB, Tirupati, India",110,110,53,15,13.8,1.8,9,13.67,79.35,2024-05-04 18:00:00
"PWD Grounds, Vijayawada, India",-,52,N/A,5.1,0.7,4.9,4.2,16.507014,80.627767,2020-11-19 16:00:00
"Naharlagun, Naharlagun, India",53,53,18,1,1.1,1.6,2.4,27.103358,93.679645,2024-05-04 09:00:00
"Pan Bazaar, Guwahati, India",106,91,106,7.1,1.7,25.5,5.9,26.1875,91.744194,2024-05-04 18:00:00
"D M Colony, Bihar Sharif, India",14,91,61,13.9,3.2,5.3,9.3,25.204762,85.51496,2024-05-04 18:00:00
"New DM Office, Arrah, India",104,104,80,5.4,1.6,10.8,1.9,25.5626095,84.663264,2024-05-04 18:00:00
"DRCC Anandpur, Begusarai, India",262,262,152,1.6,34,6.8,2.1,25.444266,86.140169,2023-12-22 18:00:00
"Kamalnath Nagar, Bettiah, India",163,163,98,2.5,10.3,9.1,11.4,26.80365,84.51954,2024-05-04 18:00:00
"DM Office_Kachari Chowk, Bhagalpur, India",151,151,118,20.1,26.2,6.6,7.9,25.251013,86.989001,2024-05-04 18:00:00
"D M Colony, Bihar Sharif, India",14,91,61,13.9,3.2,5.3,9.3,25.204762,85.51496,2024-05-04 18:00:00
"SFTI Kusdihra, Gaya, India",153,153,62,25.7,11.4,4,4.9,24.762518,84.982348,2024-05-04 18:00:00
"Central Jail, Buxar, India",241,241,147,8.2,1.6,1.5,6,25.555605,83.950942,2022-12-01 17:00:00
"Darshan Nagar, Chhapra, India",156,156,96,0.5,13.3,16.4,11.6,25.7808257,84.7446768,2024-05-04 18:00:00
"Town Hall - Lal Bagh, Darbhanga, India",192,192,170,21.6,1.6,10.1,4.8,26.15146,85.89342,2023-01-14 13:00:00
"Collectorate, Gaya, India",125,125,N/A,26.6,1,5.8,7.6,24.7955,84.9994,2024-05-04 18:00:00
"Industrial Area, Hajipur, India",151,151,135,4.4,21.8,3.5,6.3,25.697189,85.2459,2024-05-04 18:00:00
"Town Hall, Munger, India",156,156,90,11.2,2,11.1,8.7,25.376776,86.471523,2024-05-04 18:00:00
"Mirchaibari, Katihar, India",83,76,83,5.6,10.5,8.2,10.2,25.560083,87.553265,2024-05-04 16:00:00
"Gandak Colony, Motihari, India",87,87,43,37,26.1,1.4,7.5,26.63086,84.90051,2024-05-04 18:00:00
"Town Hall, Munger, India",156,156,90,11.2,2,11.1,8.7,25.376776,86.471523,2024-05-04 18:00:00
"Buddha Colony, Muzaffarpur, India",176,176,129,13.4,13.4,6.2,6.5,26.11442,85.39813,2024-05-04 18:00:00
"IGSC Planetarium Complex, Patna, India",169,169,N/A,12.1,4.1,5.7,6.2,25.6103665,85.1327137,2024-05-04 18:00:00
"Police Line, Saharsa, India",163,163,86,13.8,2.6,6.7,9.9,25.892357,86.590325,2024-05-04 18:00:00
"DM Office_Kasipur, Samastipur, India",157,157,77,1.3,1.6,4,3.8,25.859655,85.77944,2024-05-04 18:00:00
"Chitragupta Nagar, Siwan, India",161,161,96,32.1,26.9,12.1,38.7,26.2271665,84.3570427,2024-05-04 18:00:00
"Sector 22, Chandigarh, India",65,65,50,44.3,7.4,3.1,6.3,30.735567,76.775714,2024-05-04 18:00:00
"Sector 22, Chandigarh, India",65,65,50,44.3,7.4,3.1,6.3,30.735567,76.775714,2024-05-04 18:00:00
"Civic Center, Bhilai, India",84,84,58,15.6,4.7,3.9,6.2,21.185571,81.343175,2024-05-04 18:00:00
"Mangala, Bilaspur, India",99,99,56,N/A,4.2,4.5,9.1,22.08815,82.13737,2024-05-04 18:00:00
"Civic Center, Bhilai, India",84,84,58,15.6,4.7,3.9,6.2,21.185571,81.343175,2024-05-04 18:00:00
"Doon University, Dehradun, India",75,75,63,45.9,0.4,1.6,2.9,30.269444,78.044167,2024-05-04 18:00:00
"Phase-1 GIDC, Vapi, India",168,168,59,0.6,2.4,21.4,N/A,20.362421,72.918013,2024-05-04 18:00:00
"Phase-1 GIDC, Vapi, India",168,168,59,0.6,2.4,21.4,N/A,20.362421,72.918013,2024-05-04 18:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",164,164,N/A,N/A,N/A,N/A,N/A,28.63576,77.22445,2024-05-04 18:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",164,164,N/A,N/A,N/A,N/A,N/A,28.63576,77.22445,2024-05-04 18:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",164,164,N/A,N/A,N/A,N/A,N/A,28.63576,77.22445,2024-05-04 18:00:00
"Maninagar, Ahmedabad, India",54,54,53,17,9.9,0.3,14.6,23.002657,72.591912,2024-05-04 18:00:00
"GIDC, Ankleshwar, India",40,98,65,11.7,13,39.5,0.9,21.613267,73.010555,2024-05-04 18:00:00
"GIFT City, Gandhinagar, India",11,N/A,N/A,4,5.3,2.4,11.3,23.163798,72.677768,2024-05-04 18:00:00
"13 Lenin street, Oha, Russia (ул.Ленина, д.13)",10,10,4,5.2,0.7,N/A,4.3,53.58904,142.94797,2022-01-12 05:00:00
"Patti Mehar, Ambala, India",67,67,46,17,1.5,5.3,7.2,30.379589,76.778328,2024-05-04 18:00:00
"H.B. Colony, Bhiwani, India",153,153,60,9.9,3.1,3.9,5.6,28.806223,76.141105,2024-05-04 18:00:00
"Sector 22, Chandigarh, India",65,65,50,44.3,7.4,3.1,6.3,30.735567,76.775714,2024-05-04 18:00:00
"Sector16A Faridabad, Faridabad, India",114,114,N/A,5.7,0.1,3.6,12.3,28.4088421,77.3099081,2024-05-04 18:00:00
"Urban Estate-II, Hisar, India",110,110,68,51,8.3,10.3,5,29.14056,75.744941,2024-05-04 18:00:00
"Police Lines, Jind, India",70,70,53,4.9,1.5,51.3,3,29.307814,76.337619,2024-05-04 18:00:00
"Rishi Nagar, Kaithal, India",83,83,69,3.2,9,18.1,5.7,29.8006,76.4155,2024-05-04 18:00:00
"Sector-12, Karnal, India",121,121,60,13.5,4.3,5.1,5.2,29.6953,77.0027,2024-05-04 18:00:00
"MD University, Rohtak, Rohtak, India",223,223,N/A,11.2,7.1,2.8,9.9,28.870083,76.6205,2020-01-13 04:00:00
"F-Block, Sirsa, India",113,113,89,26.6,3.9,1.9,11.2,29.5364,75.0158,2024-05-04 18:00:00
"Murthal, Sonipat, India",67,67,66,14.1,13.9,11.6,2.7,29.0272,77.0621,2024-05-04 18:00:00
"Mangala, Bilaspur, India",99,99,56,N/A,4.2,4.5,9.1,22.08815,82.13737,2024-05-04 18:00:00
"Unna-Königsborn, Germany",34,18,N/A,34.3,1.8,N/A,N/A,51.547479,7.693785,2024-05-04 13:00:00
"Rajbagh, Srinagar, India",58,58,41,5.6,4.6,4.8,4,34.066206,74.81982,2024-03-04 09:00:00
"Tata Stadium, Jorapokhar, India",30,N/A,N/A,8.9,5.9,22.9,29.8,23.707909,86.41467,2024-05-04 18:00:00
"Hombegowda Nagar, Bengaluru, India",23,72,50,23.2,4.4,0.9,5.5,12.938539,77.5901,2024-05-04 18:00:00
"Ramteerth Nagar, Belgaum, India",76,55,76,7.9,18,3.6,7.2,15.888653,74.541751,2024-05-04 18:00:00
"Kalyana Nagara, Chikkamagaluru, India",61,61,38,18.3,7,0.7,2,13.328028,75.797056,2024-05-04 18:00:00
"Devaraj Urs Badavane, Davanagere, India",73,78,73,N/A,N/A,N/A,N/A,14.4758,75.9052,2024-05-04 18:00:00
"B.Katihalli, Hassan, India",221,75,69,220.6,4.5,60.3,0.3,13.008556,76.125258,2024-05-04 18:00:00
"Lal Bahadur Shastri Nagar, Kalaburagi, India",82,82,51,35.2,4.3,9.4,8.2,17.321993,76.822628,2024-05-04 18:00:00
