City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,timestamp
"Gulzarpet, Anantapur, India",0.087058824,0.085714286,0.062647754,0.117219446,0.132743363,0.01850362,0.161458333,14.675886,77.593027,05-04-2024 18:00
"Anand Kala Kshetram, Rajamahendravaram, India",0.051764706,0.044897959,0.031914894,0.06406179,0.351032448,0.054706356,0.166666667,16.9872867,81.7363176,05-04-2024 18:00
"Tirumala-APPCB, Tirupati, India",0.112941176,0.115646259,0.041371158,0.065879146,0.404129794,0.013676589,0.2265625,13.67,79.35,05-04-2024 18:00
"Naharlagun, Naharlagun, India",0.045882353,0.038095238,0,0.002271695,0.029498525,0.012067578,0.0546875,27.103358,93.679645,05-04-2024 09:00
"Pan Bazaar, Guwahati, India",0.108235294,0.089795918,0.104018913,0.02998637,0.04719764,0.204344328,0.145833333,26.1875,91.744194,05-04-2024 18:00
"D M Colony, Bihar Sharif, India",0,0.089795918,0.050827423,0.060881418,0.091445428,0.041834272,0.234375,25.204762,85.51496,05-04-2024 18:00
"New DM Office, Arrah, India",0.105882353,0.107482993,0.073286052,0.022262608,0.044247788,0.08608206,0.041666667,25.5626095,84.663264,05-04-2024 18:00
"DRCC Anandpur, Begusarai, India",0.291764706,0.32244898,0.158392435,0.004997728,1,0.05390185,0.046875,25.444266,86.140169,
"Kamalnath Nagar, Bettiah, India",0.175294118,0.187755102,0.094562648,0.009086779,0.300884956,0.072405471,0.2890625,26.80365,84.51954,05-04-2024 18:00
"DM Office_Kachari Chowk, Bhagalpur, India",0.161176471,0.171428571,0.11820331,0.089050432,0.769911504,0.05229284,0.197916667,25.251013,86.989001,05-04-2024 18:00
"SFTI Kusdihra, Gaya, India",0.163529412,0.17414966,0.052009456,0.114493412,0.333333333,0.031375704,0.119791667,24.762518,84.982348,05-04-2024 18:00
"Central Jail, Buxar, India",0.267058824,0.293877551,0.15248227,0.034984098,0.044247788,0.011263073,0.1484375,25.555605,83.950942,12-01-2022 17:00
"Darshan Nagar, Chhapra, India",0.167058824,0.178231293,0.092198582,0,0.389380531,0.131134352,0.294270833,25.7808257,84.7446768,05-04-2024 18:00
